metabolite names,microbes names,edgeType,p-value,prevalence
Isovalerate (3-Methylbutanoic acid),Ruminococcus gnavus,production,1.038252735082899e-06,12
"L-Lactate ([S]-Lactate, Lactate, D-Lactate, [R]-Lactate)",Bacteroides eggerthii,consumption,1.038252735082899e-06,12
Isovalerate (3-Methylbutanoic acid),Bacteroides finegoldii (Alistipes finegoldii),consumption,1.038252735082899e-06,12
Urea,Coprococcus eutactus,production,1.038252735082899e-06,12
Isovalerate (3-Methylbutanoic acid),Bacteroides finegoldii (Alistipes finegoldii),production,1.038252735082899e-06,12
"L-Glutamine (D-Glutamine, Glutamine)",Alistipes putredinis,consumption,1.038252735082899e-06,12
"L-Alanine (D-Alanine, Alanine)",Blautia hansenii (Ruminococcus hansenii),production,1.038252735082899e-06,12
Isovalerate (3-Methylbutanoic acid),Coprococcus eutactus,production,1.038252735082899e-06,12
4-Aminobutyrate (GABA),Alistipes shahii,consumption,1.038252735082899e-06,12
XOS (Xylooligosaccharide),Prevotella salivae,consumption,1.038252735082899e-06,12
Isovalerate (3-Methylbutanoic acid),Prevotella salivae,consumption,1.038252735082899e-06,12
Butyrate,Desulfovibrio piger,production,1.038252735082899e-06,12
"L-Glutamate (L-Glutamic acid, Glutamate, D-Glutamate)",Fusobacterium varium,consumption,1.038252735082899e-06,12
Isovalerate (3-Methylbutanoic acid),Dorea formicigenerans,consumption,1.038252735082899e-06,12
Isovalerate (3-Methylbutanoic acid),Lactococcus lactis,consumption,1.038252735082899e-06,12
"Valerate (Pentanoic acid, Pentanoate)",Ruminococcus torques,production,6.244536286389231e-06,11
"L-Alanine (D-Alanine, Alanine)",Bacteroides uniformis,production,6.244536286389231e-06,11
"Valerate (Pentanoic acid, Pentanoate)",Alistipes putredinis,production,6.244536286389231e-06,11
Isovalerate (3-Methylbutanoic acid),Bacteroides xylanisolvens,consumption,6.244536286389231e-06,11
Propanoate (Propionate),Blautia hansenii (Ruminococcus hansenii),production,6.244536286389231e-06,11
Butyrate,Blautia hansenii (Ruminococcus hansenii),production,6.244536286389231e-06,11
Butyrate,Bilophila wadsworthia,production,6.244536286389231e-06,11
Deoxycholic acid,Bacteroides dorei,production,6.244536286389231e-06,11
Isovalerate (3-Methylbutanoic acid),Coprococcus eutactus,consumption,6.244536286389231e-06,11
Isovalerate (3-Methylbutanoic acid),Collinsella aerofaciens (Eubacterium aerofaciens),production,6.244536286389231e-06,11
Succinate,Streptococcus sanguinis,consumption,6.244536286389231e-06,11
"L-Glutamate (L-Glutamic acid, Glutamate, D-Glutamate)",Ruminococcus torques,production,6.244536286389231e-06,11
"L-Lactate ([S]-Lactate, Lactate, D-Lactate, [R]-Lactate)",Eubacterium eligens,consumption,6.244536286389231e-06,11
"L-Glutamate (L-Glutamic acid, Glutamate, D-Glutamate)",Eubacterium eligens,consumption,6.244536286389231e-06,11
Urea,Bacteroides finegoldii (Alistipes finegoldii),production,6.244536286389231e-06,11
Isovalerate (3-Methylbutanoic acid),Acidaminococcus fermentans,production,6.244536286389231e-06,11
"L-Glutamate (L-Glutamic acid, Glutamate, D-Glutamate)",Bacteroides caccae,production,6.244536286389231e-06,11
"Valerate (Pentanoic acid, Pentanoate)",Blautia hansenii (Ruminococcus hansenii),production,6.244536286389231e-06,11
"L-Alanine (D-Alanine, Alanine)",Bacteroides stercoris,production,6.244536286389231e-06,11
Isovalerate (3-Methylbutanoic acid),Bacteroides plebeius,consumption,6.244536286389231e-06,11
4-Aminobutyrate (GABA),Eubacterium eligens,production,6.244536286389231e-06,11
"L-Glutamate (L-Glutamic acid, Glutamate, D-Glutamate)",Holdemania filiformis,production,6.244536286389231e-06,11
"L-Alanine (D-Alanine, Alanine)",Eubacterium hallii,production,3.437567217821723e-05,10
Trimethylamine,Ruminococcus obeum,consumption,3.437567217821723e-05,10
Isovalerate (3-Methylbutanoic acid),Streptococcus gallolyticus,consumption,3.437567217821723e-05,10
"L-Glutamate (L-Glutamic acid, Glutamate, D-Glutamate)",Ruminococcus obeum,consumption,3.437567217821723e-05,10
Putrescine,Bifidobacterium bifidum,production,3.437567217821723e-05,10
Isovalerate (3-Methylbutanoic acid),Lactococcus lactis,production,3.437567217821723e-05,10
"L-Lactate ([S]-Lactate, Lactate, D-Lactate, [R]-Lactate)",Clostridium symbiosum,consumption,3.437567217821723e-05,10
Isovalerate (3-Methylbutanoic acid),Eubacterium ventriosum,consumption,3.437567217821723e-05,10
Trimethylamine,Bacteroides plebeius,consumption,3.437567217821723e-05,10
"Valerate (Pentanoic acid, Pentanoate)",Bacteroides uniformis,production,3.437567217821723e-05,10
"L-Lactate ([S]-Lactate, Lactate, D-Lactate, [R]-Lactate)",Bilophila wadsworthia,production,3.437567217821723e-05,10
H2 (Hydrogen),Ruminococcus gnavus,consumption,3.437567217821723e-05,10
Isovalerate (3-Methylbutanoic acid),Bilophila wadsworthia,production,3.437567217821723e-05,10
"L-Alanine (D-Alanine, Alanine)",Roseburia intestinalis,production,3.437567217821723e-05,10
"L-Glutamate (L-Glutamic acid, Glutamate, D-Glutamate)",Coprococcus comes,production,3.437567217821723e-05,10
"L-Glutamate (L-Glutamic acid, Glutamate, D-Glutamate)",Prevotella salivae,consumption,3.437567217821723e-05,10
"Valerate (Pentanoic acid, Pentanoate)",Coprococcus eutactus,production,3.437567217821723e-05,10
Succinate,Bacteroides xylanisolvens,consumption,3.437567217821723e-05,10
"L-Glutamate (L-Glutamic acid, Glutamate, D-Glutamate)",Odoribacter splanchnicus,production,3.437567217821723e-05,10
FOS (Fructooligosaccharide),Prevotella salivae,consumption,3.437567217821723e-05,10
"L-Glutamate (L-Glutamic acid, Glutamate, D-Glutamate)",Eggerthella lenta,consumption,3.437567217821723e-05,10
"L-Lactate ([S]-Lactate, Lactate, D-Lactate, [R]-Lactate)",Prevotella copri,production,3.437567217821723e-05,10
Propanoate (Propionate),Bilophila wadsworthia,production,3.437567217821723e-05,10
Isovalerate (3-Methylbutanoic acid),Eubacterium hallii,consumption,3.437567217821723e-05,10
Trimethylamine,Eubacterium ventriosum,consumption,3.437567217821723e-05,10
"L-Alanine (D-Alanine, Alanine)",Streptococcus salivarius,production,3.437567217821723e-05,10
"Valerate (Pentanoic acid, Pentanoate)",Bilophila wadsworthia,production,3.437567217821723e-05,10
"Valerate (Pentanoic acid, Pentanoate)",Ruminococcus obeum,production,3.437567217821723e-05,10
Isovalerate (3-Methylbutanoic acid),Bacteroides coprophilus,consumption,3.437567217821723e-05,10
4-Aminobutyrate (GABA),Eubacterium siraeum,production,3.437567217821723e-05,10
"L-Glutamate (L-Glutamic acid, Glutamate, D-Glutamate)",Ruminococcus obeum,production,3.437567217821723e-05,10
"Valerate (Pentanoic acid, Pentanoate)",Bacteroides eggerthii,production,3.437567217821723e-05,10
Putrescine,Eubacterium eligens,production,3.437567217821723e-05,10
"Valerate (Pentanoic acid, Pentanoate)",Bacteroides stercoris,production,3.437567217821723e-05,10
Urea,Bacteroides fragilis,production,3.437567217821723e-05,10
4-Aminobutyrate (GABA),Lactococcus lactis,production,3.437567217821723e-05,10
"L-Glutamate (L-Glutamic acid, Glutamate, D-Glutamate)",Eubacterium limosum,production,0.00017216185098533918,9
"L-Alanine (D-Alanine, Alanine)",Eubacterium eligens,production,0.00017216185098533918,9
"Valerate (Pentanoic acid, Pentanoate)","Bifidobacterium longum (Bifidobacterium infantis, Bifidobacterium suis)",production,0.00017216185098533918,9
"L-Glutamate (L-Glutamic acid, Glutamate, D-Glutamate)",Parabacteroides merdae,consumption,0.00017216185098533918,9
Isovalerate (3-Methylbutanoic acid),Bifidobacterium bifidum,production,0.00017216185098533918,9
"L-Glutamate (L-Glutamic acid, Glutamate, D-Glutamate)",Shigella sonnei,consumption,0.00017216185098533918,9
Isovalerate (3-Methylbutanoic acid),Anaerostipes caccae,consumption,0.00017216185098533918,9
Isovalerate (3-Methylbutanoic acid),Akkermansia muciniphila,consumption,0.00017216185098533918,9
"Valerate (Pentanoic acid, Pentanoate)",Prevotella salivae,production,0.00017216185098533918,9
Trimethylamine,Fusobacterium varium,consumption,0.00017216185098533918,9
"L-Lactate ([S]-Lactate, Lactate, D-Lactate, [R]-Lactate)",Odoribacter splanchnicus,consumption,0.00017216185098533918,9
Deoxycholic acid,Ruminococcus gnavus,production,0.00017216185098533918,9
"L-Alanine (D-Alanine, Alanine)",Alistipes putredinis,production,0.00017216185098533918,9
"L-Glutamate (L-Glutamic acid, Glutamate, D-Glutamate)",Bifidobacterium pseudocatenulatum,consumption,0.00017216185098533918,9
Propanoate (Propionate),Desulfovibrio piger,production,0.00017216185098533918,9
H2O2,Prevotella salivae,consumption,0.00017216185098533918,9
"L-Glutamate (L-Glutamic acid, Glutamate, D-Glutamate)",Ruminococcus gnavus,consumption,0.00017216185098533918,9
"Valerate (Pentanoic acid, Pentanoate)",Ruminococcus gnavus,production,0.00017216185098533918,9
"L-Glutamine (D-Glutamine, Glutamine)",Bacteroides thetaiotaomicron,production,0.00017216185098533918,9
"L-Alanine (D-Alanine, Alanine)",Ruminococcus bromii,production,0.00017216185098533918,9
"Valerate (Pentanoic acid, Pentanoate)",Bacteroides caccae,production,0.00017216185098533918,9
"L-Lactate ([S]-Lactate, Lactate, D-Lactate, [R]-Lactate)",Bacteroides caccae,consumption,0.00017216185098533918,9
Isovalerate (3-Methylbutanoic acid),Bacteroides plebeius,production,0.00017216185098533918,9
"L-Glutamate (L-Glutamic acid, Glutamate, D-Glutamate)",Collinsella aerofaciens (Eubacterium aerofaciens),production,0.00017216185098533918,9
Succinate,Coprococcus comes,consumption,0.00017216185098533918,9
"L-Lactate ([S]-Lactate, Lactate, D-Lactate, [R]-Lactate)",Clostridium difficile,consumption,0.00017216185098533918,9
Deoxycholic acid,Alistipes putredinis,consumption,0.00017216185098533918,9
Isovalerate (3-Methylbutanoic acid),Alistipes shahii,production,0.00017216185098533918,9
Isovalerate (3-Methylbutanoic acid),Sutterella wadsworthensis,consumption,0.00017216185098533918,9
Succinate,Odoribacter splanchnicus,consumption,0.0007789435525979105,8
4-Aminobutyrate (GABA),Bacteroides coprocola,production,0.0007789435525979105,8
"L-Lactate ([S]-Lactate, Lactate, D-Lactate, [R]-Lactate)",Prevotella salivae,production,0.0007789435525979105,8
L-Asparagine (Asparagine),Bifidobacterium bifidum,production,0.0007789435525979105,8
Raffinose,Ruminococcus gnavus,consumption,0.0007789435525979105,8
Isovalerate (3-Methylbutanoic acid),Bacteroides thetaiotaomicron,consumption,0.0007789435525979105,8
Isovalerate (3-Methylbutanoic acid),Clostridium leptum,production,0.0007789435525979105,8
Isovalerate (3-Methylbutanoic acid),Parabacteroides merdae,consumption,0.0007789435525979105,8
D-Fructose (Fructose),Prevotella salivae,consumption,0.0007789435525979105,8
"L-Lactate ([S]-Lactate, Lactate, D-Lactate, [R]-Lactate)",Bacteroides coprocola,consumption,0.0007789435525979105,8
"L-Glutamine (D-Glutamine, Glutamine)",Prevotella copri,production,0.0007789435525979105,8
"L-Glutamate (L-Glutamic acid, Glutamate, D-Glutamate)",Catenibacterium mitsuokai,production,0.0007789435525979105,8
"Valerate (Pentanoic acid, Pentanoate)",Streptococcus gallolyticus,production,0.0007789435525979105,8
Butyrate,Fusobacterium varium,consumption,0.0007789435525979105,8
L-Tyrosine (Tyrosine),Eubacterium hallii,production,0.0007789435525979105,8
Putrescine,Ruminococcus torques,consumption,0.0007789435525979105,8
Isovalerate (3-Methylbutanoic acid),Catenibacterium mitsuokai,production,0.0007789435525979105,8
"L-Lactate ([S]-Lactate, Lactate, D-Lactate, [R]-Lactate)",Ruminococcus torques,consumption,0.0007789435525979105,8
Succinate,Ruminococcus torques,consumption,0.0007789435525979105,8
"L-Alanine (D-Alanine, Alanine)",Dorea formicigenerans,production,0.0007789435525979105,8
Trimethylamine,Roseburia inulinivorans,consumption,0.0007789435525979105,8
"L-Glutamate (L-Glutamic acid, Glutamate, D-Glutamate)",Odoribacter splanchnicus,consumption,0.0007789435525979105,8
Deoxycholic acid,Alistipes putredinis,production,0.0007789435525979105,8
Succinate,Bacteroides eggerthii,consumption,0.0007789435525979105,8
Trimethylamine,Eubacterium hallii,production,0.0007789435525979105,8
Trimethylamine,Clostridium symbiosum,consumption,0.0007789435525979105,8
D-Fructose (Fructose),Ruminococcus gnavus,consumption,0.0007789435525979105,8
"Valerate (Pentanoic acid, Pentanoate)",Dorea formicigenerans,production,0.0007789435525979105,8
Propanoate (Propionate),Fusobacterium varium,consumption,0.0007789435525979105,8
"L-Lactate ([S]-Lactate, Lactate, D-Lactate, [R]-Lactate)",Shigella sonnei,consumption,0.0007789435525979105,8
Deoxycholic acid,Eubacterium hallii,production,0.0007789435525979105,8
Succinate,Bacteroides finegoldii (Alistipes finegoldii),consumption,0.0007789435525979105,8
"L-Rhamnose (Rhamnose, D-Rhamnose)",Ruminococcus gnavus,consumption,0.0007789435525979105,8
"L-Glutamate (L-Glutamic acid, Glutamate, D-Glutamate)",Bacteroides coprophilus,consumption,0.0007789435525979105,8
"Valerate (Pentanoic acid, Pentanoate)",Odoribacter splanchnicus,production,0.0007789435525979105,8
Urea,Coprococcus comes,production,0.0007789435525979105,8
"L-Glutamine (D-Glutamine, Glutamine)",Bacteroides ovatus,production,0.0007789435525979105,8
4-Aminobutyrate (GABA),Shigella sonnei,consumption,0.0007789435525979105,8
"Valerate (Pentanoic acid, Pentanoate)",Ruminococcus flavefaciens,production,0.0007789435525979105,8
Deoxycholic acid,Bacteroides dorei,consumption,0.0007789435525979105,8
4-Aminobutyrate (GABA),Eubacterium ventriosum,production,0.0007789435525979105,8
Urea,Bacteroides stercoris,production,0.0007789435525979105,8
4-Aminobutyrate (GABA),Holdemania filiformis,production,0.0007789435525979105,8
"L-Alanine (D-Alanine, Alanine)",Odoribacter splanchnicus,production,0.0007789435525979105,8
"L-Alanine (D-Alanine, Alanine)",Bacteroides caccae,production,0.0007789435525979105,8
Deoxycholic acid,Bacteroides finegoldii (Alistipes finegoldii),consumption,0.0007789435525979105,8
Urea,Bacteroides uniformis,production,0.0007789435525979105,8
"L-Alanine (D-Alanine, Alanine)",Ruminococcus gnavus,production,0.0007789435525979105,8
Trimethylamine,Prevotella salivae,production,0.0007789435525979105,8
